State Name,District Name
Bihar,Vaishali
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Lakhisarai
Bihar,Sheikhpura
Bihar,Arwal
Bihar,Jehanabad
Bihar,Nalanda
Bihar,Patna
Bihar,Saran
Bihar,Siwan
Bihar,Muzaffarpur
Bihar,Madhepura
Bihar,Araria
Bihar,Supaul
Bihar,Madhubani
Bihar,Purnia
Bihar,Kishanganj
Bihar,Aurangabad
Chandigarh,Chandigarh
Chhattisgarh,Mahasamund
Chhattisgarh,Uttar Bastar Kanker
Chhattisgarh,Narayanpur
Chhattisgarh,Dakshin Bastar Dantewada
Chhattisgarh,Bastar
Chhattisgarh,Kondagaon
Chhattisgarh,Gariaband
Chhattisgarh,Raipur
Chhattisgarh,Durg
Chhattisgarh,Dhamtari
Chhattisgarh,Balod
Chhattisgarh,Kabeerdham
Chhattisgarh,Janjgir Champa
Chhattisgarh,Bametara
Chhattisgarh,Rajnandgaon
Chhattisgarh,Baloda Bazar
Chhattisgarh,Mungeli
Chhattisgarh,Bijapur
Chhattisgarh,Raigarh
Chhattisgarh,Bilaspur
Chhattisgarh,Sukma
Chhattisgarh,Koriya
Chhattisgarh,Jashpur
Chhattisgarh,Korba
Chhattisgarh,Surajpur
Chhattisgarh,Surguja
Chhattisgarh,Balrampur
Dadra And Nagar Haveli,Dadra and Nagar Haveli
Delhi,North Delhi
Delhi,North East Delhi
Delhi,West Delhi
Delhi,East Delhi
Delhi,South West Delhi
Delhi,Central Delhi
Delhi,New Delhi
Delhi,South Delhi
Delhi,Shahdara
Delhi,South East Delhi
Delhi,North West Delhi
Goa,North Goa
Goa,South Goa
Haryana,Jhajjar
Haryana,Gurugram
Haryana,Faridabad
Haryana,Mahendragarh
Haryana,Rewari
Haryana,Nuh
Haryana,Palwal
Haryana,Charkhi Dadri
Haryana,Yamunanagar
Haryana,Kurukshetra
Haryana,Kaithal
Haryana,Sirsa
Haryana,Karnal
Haryana,Jind
Haryana,Fatehabad
Haryana,Hisar
Haryana,Panipat
Haryana,Sonipat
Haryana,Bhiwani
Haryana,Rohtak
Haryana,Panchkula
Haryana,Ambala
Himachal Pradesh,Lahaul and Spiti
Himachal Pradesh,Chamba
Himachal Pradesh,Kangra
Himachal Pradesh,Kullu
Himachal Pradesh,Mandi
Himachal Pradesh,Kinnaur
Himachal Pradesh,Una
Himachal Pradesh,Shimla
Himachal Pradesh,Solan
Himachal Pradesh,Sirmaur
Himachal Pradesh,Hamirpur
Himachal Pradesh,Bilaspur
Jammu And Kashmir,Kupwara
Jammu And Kashmir,Bandipora
Jammu And Kashmir,Baramulla
Jammu And Kashmir,Ganderbal
Jammu And Kashmir,Anantnag
Jammu And Kashmir,Kishtwar
Jammu And Kashmir,Srinagar
Jammu And Kashmir,Budgam
Jammu And Kashmir,Pulwama
Jammu And Kashmir,Punch
Jammu And Kashmir,Shopiyan
Jammu And Kashmir,Kulgam
Jammu And Kashmir,Rajouri
Jammu And Kashmir,Ramban
Jammu And Kashmir,Reasi
Jammu And Kashmir,Doda
Jammu And Kashmir,Jammu
Jammu And Kashmir,Kathua
Jammu And Kashmir,Udhampur
Jammu And Kashmir,Samba
Jammu And Kashmir,Muzaffarabad
Jammu And Kashmir,Mirpur
Jharkhand,Sahibganj
Jharkhand,Godda
Jharkhand,Pakur
Jharkhand,Giridih
Jharkhand,Dumka
Jharkhand,Deoghar
Jharkhand,Palamu
Jharkhand,Chatra
Jharkhand,Garhwa
Jharkhand,Jamtara
Jharkhand,Dhanbad
Jharkhand,Latehar
Jharkhand,Bokaro
Jharkhand,Ramgarh
Jharkhand,Ranchi
Jharkhand,Lohardaga
Jharkhand,Gumla
Jharkhand,Khunti
Jharkhand,Saraikela-kharsawan
Jharkhand,East Singhbhum
Jharkhand,West Singhbhum
Jharkhand,Simdega
Jharkhand,Koderma
Jharkhand,Hazaribagh
Karnataka,Bidar
Karnataka,Kalaburagi
Karnataka,Belagavi
Karnataka,Yadgir
Karnataka,Bagalkote
Karnataka,Raichur
Karnataka,Koppal
Karnataka,Gadag
Karnataka,Ballari
Karnataka,Dharwad
Karnataka,Uttara Kannada
Karnataka,Haveri
Karnataka,Chitradurga
Karnataka,Davanagere
Karnataka,Shivamogga
Karnataka,Udupi
Karnataka,Chikkamagaluru
Karnataka,Chikkaballapura
Karnataka,Hassan
Karnataka,Kolar
Karnataka,Bengaluru Rural
Karnataka,Dakshina Kannada
Karnataka,Bengaluru Urban
Karnataka,Kodagu
Karnataka,Chamarajanagara
Karnataka,Tumakuru
Karnataka,Ramanagara
Karnataka,Mandya
Karnataka,Mysuru
Karnataka,Vijayapura
Kerala,Kasaragod
Kerala,Wayanad
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Thrissur
Kerala,Idukki
Kerala,Ernakulam
Kerala,Alappuzha
Kerala,Kottayam
Kerala,Pathanamthitta
Kerala,Kollam
Kerala,Thiruvananthapuram
Kerala,Kannur
Ladakh,Leh
Ladakh,Kargil
Lakshadweep,Lakshadweep
Madhya Pradesh,Burhanpur
Madhya Pradesh,Seoni
Madhya Pradesh,Alirajpur
Madhya Pradesh,Chhindwara
Madhya Pradesh,Harda
Madhya Pradesh,Khargone
Madhya Pradesh,Khandwa
Madhya Pradesh,Balaghat
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Morena
Madhya Pradesh,Bhind
Madhya Pradesh,Gwalior
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Neemuch
Madhya Pradesh,Rewa
Madhya Pradesh,Satna
Madhya Pradesh,Guna
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Mandsaur
Madhya Pradesh,Singrauli
Madhya Pradesh,Sidhi
Madhya Pradesh,Sagar
Madhya Pradesh,Damoh
Madhya Pradesh,Shajapur
Madhya Pradesh,Vidisha
Madhya Pradesh,Rajgarh
Madhya Pradesh,Shahdol
Madhya Pradesh,Katni
Madhya Pradesh,Umaria
Madhya Pradesh,Ratlam
Madhya Pradesh,Bhopal
Madhya Pradesh,Ujjain
Madhya Pradesh,Raisen
Madhya Pradesh,Sehore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Dewas
Madhya Pradesh,Anuppur
Madhya Pradesh,Jhabua
Madhya Pradesh,Dindori
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Dhar
Madhya Pradesh,Indore
Madhya Pradesh,Mandla
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Agar Malwa
Madhya Pradesh,Datia
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Panna
Madhya Pradesh,Niwari
Maharashtra,Gondia
Maharashtra,Bhandara
Maharashtra,Jalgaon
Maharashtra,Wardha
Maharashtra,Buldhana
Maharashtra,Akola
Maharashtra,Nashik
Maharashtra,Gadchiroli
Maharashtra,Washim
Maharashtra,Chandrapur
Maharashtra,Yavatmal
Maharashtra,Jalna
Maharashtra,Ahmednagar
Maharashtra,Hingoli
Maharashtra,Nanded
Maharashtra,Parbhani
Maharashtra,Pune
Maharashtra,Beed
Maharashtra,Mumbai
Maharashtra,Latur
Maharashtra,Osmanabad
Maharashtra,Solapur
Maharashtra,Satara
Maharashtra,Ratnagiri
Maharashtra,Sangli
Maharashtra,Kolhapur
Maharashtra,Sindhudurg
Maharashtra,Thane
Maharashtra,Palghar
Maharashtra,Nandurbar
Maharashtra,Amravati
Maharashtra,Dhule
Maharashtra,Nagpur
Maharashtra,Aurangabad
Maharashtra,Raigad
Manipur,Kamjong
Manipur,Senapati
Manipur,Tamenglong
Manipur,Imphal West
Manipur,Kakching
Manipur,Bishnupur
Manipur,Chandel
Manipur,Churachandpur
Manipur,Imphal East
Manipur,Jiribam
Manipur,Kangpokpi
Manipur,Thoubal
Manipur,Tengnoupal
Manipur,Ukhrul
Manipur,Noney
Manipur,Pherzawl
Meghalaya,Ribhoi
Meghalaya,West Khasi Hills
Meghalaya,East Jaintia Hills
Meghalaya,East Khasi Hills
Meghalaya,South Garo Hills
Meghalaya,West Garo Hills
Meghalaya,East Garo Hills
Meghalaya,West Jaintia Hills
Meghalaya,South West Khasi Hills
Meghalaya,North Garo Hills
Meghalaya,South West Garo Hills
Mizoram,Aizawl
Mizoram,Champhai
Mizoram,Kolasib
Mizoram,Lawngtlai
Mizoram,Lunglei
Mizoram,Mamit
Mizoram,Saiha
Mizoram,Serchhip
Mizoram,Khawzawl
Mizoram,Hnahthial
Nagaland,Mon
Nagaland,Longleng
Nagaland,Mokokchung
Nagaland,Tuensang
Nagaland,Kiphire
Nagaland,Peren
Nagaland,Wokha
Nagaland,Zunheboto
Nagaland,Phek
Nagaland,Kohima
Nagaland,Dimapur
Odisha,Bhadrak
Odisha,Dhenkanal
Odisha,Jajpur
Odisha,Subarnapur
Odisha,Nuapada
Odisha,Balangir
Odisha,Boudh
Odisha,Cuttack
Odisha,Kandhamal
Odisha,Nayagarh
Odisha,Khordha
Odisha,Kalahandi
Odisha,Jagatsinghpur
Odisha,Puri
Odisha,Nabarangapur
Odisha,Rayagada
Odisha,Koraput
Odisha,Malkangiri
Odisha,Angul
Odisha,Kendrapara
Odisha,Ganjam
Odisha,Gajapati
Odisha,Mayurbhanj
Odisha,Sundargarh
Odisha,Kendujhar
Odisha,Balasore
Odisha,Jharsuguda
Odisha,Bargarh
Odisha,Deogarh
Odisha,Sambalpur
Puducherry,Puducherry
Puducherry,Karaikal
Puducherry,Mahe
Puducherry,Yanam
Punjab,Gurdaspur
Punjab,Hoshiarpur
Punjab,Amritsar
Punjab,Jalandhar
Punjab,Tarn Taran
Punjab,Rupnagar
Punjab,Shahid Bhagat Singh Nagar
Punjab,Fazilka
Punjab,Moga
Punjab,Ludhiana
Punjab,S.A.S. Nagar
Punjab,Faridkot
Punjab,Fatehgarh Sahib
Punjab,Sri Muktsar Sahib
Punjab,Sangrur
Punjab,Barnala
Punjab,Bathinda
Punjab,Patiala
Punjab,Mansa
Punjab,Ferozepur
Punjab,Pathankot
Punjab,Kapurthala
Rajasthan,Churu
Rajasthan,Jhunjhunu
Rajasthan,Jaisalmer
Rajasthan,Sikar
Rajasthan,Alwar
Rajasthan,Jaipur
Rajasthan,Jodhpur
Rajasthan,Bharatpur
Rajasthan,Nagaur
Rajasthan,Dausa
Rajasthan,Karauli
Rajasthan,Dholpur
Rajasthan,Barmer
Rajasthan,Sawai Madhopur
Rajasthan,Tonk
Rajasthan,Pali
Rajasthan,Bhilwara
Rajasthan,Jalor
Rajasthan,Bundi
Rajasthan,Kota
Rajasthan,Sirohi
Rajasthan,Baran
Rajasthan,Udaipur
Rajasthan,Jhalawar
Rajasthan,Dungarpur
Rajasthan,Banswara
Rajasthan,Ajmer
Rajasthan,Rajsamand
Rajasthan,Chittorgarh
Rajasthan,Ganganagar
Rajasthan,Hanumangarh
Rajasthan,Bikaner
Rajasthan,Pratapgarh
Sikkim,North  name
Sikkim,West name
Sikkim,South name
Sikkim,East name
Tamil Nadu,Thiruvallur
Tamil Nadu,Chennai
Tamil Nadu,Krishnagiri
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Dharmapuri
Tamil Nadu,Salem
Tamil Nadu,Erode
Tamil Nadu,Nilgiris
Tamil Nadu,Namakkal
Tamil Nadu,Perambalur
Tamil Nadu,Coimbatore
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Ariyalur
Tamil Nadu,Tiruppur
Tamil Nadu,Thanjavur
Tamil Nadu,Karur
Tamil Nadu,Thiruvarur
Tamil Nadu,Dindigul
Tamil Nadu,Madurai
Tamil Nadu,Theni
Tamil Nadu,Virudhunagar
Tamil Nadu,Thoothukkudi
Tamil Nadu,Kanyakumari
Tamil Nadu,Viluppuram
Tamil Nadu,Cuddalore
Tamil Nadu,Pudukkottai
Tamil Nadu,Sivaganga
Tamil Nadu,Ramanathapuram
Tamil Nadu,Nagapattinam
Tamil Nadu,Kallakurichi
Tamil Nadu,Tenkasi
Tamil Nadu,Tirunelveli
Tamil Nadu,Vellore
Tamil Nadu,Ranipet
Tamil Nadu,Tirupathur
Tamil Nadu,Kancheepuram
Tamil Nadu,Chengalpattu
Telangana,Adilabad
Telangana,Hyderabad
Telangana,Jagtial
Telangana,Jangaon
Telangana,Mulugu
Telangana,Jogulamba Gadwal
Telangana,Kamareddy
Telangana,Karimnagar
Telangana,Khammam
Telangana,Komaram Bheem
Telangana,Mahabubabad
Telangana,Mahabubnagar
Telangana,Mancherial
Telangana,Medak
Telangana,Medchal Malkajgiri
Telangana,Nagarkurnool
Telangana,Nalgonda
Telangana,Nirmal
Telangana,Nizamabad
Telangana,Peddapalli
Telangana,Rajanna Sircilla
Telangana,Ranga Reddy
Telangana,Sangareddy
Telangana,Siddipet
Telangana,Suryapet
Telangana,Vikarabad
Telangana,Wanaparthy
Telangana,Warangal Rural
Telangana,Warangal Urban
Telangana,Yadadri Bhuvanagiri
Telangana,Bhadradri Kothagudem
Telangana,Jayashankar Bhupalapally
Telangana,Narayanpet
Tripura,North Tripura
Tripura,Dhalai
Tripura,Sipahijala
Tripura,Gomati
Tripura,Khowai
Tripura,West Tripura
Tripura,South Tripura
Tripura,Unokoti
Uttarakhand,Uttarkashi
Uttarakhand,Chamoli
Uttarakhand,Dehradun
Uttarakhand,Tehri Garhwal
Uttarakhand,Rudraprayag
Uttarakhand,Pithoragarh
Uttarakhand,Bageshwar
Uttarakhand,Haridwar
Uttarakhand,Pauri Garhwal
Uttarakhand,Almora
Uttarakhand,Nainital
Uttarakhand,Champawat
Uttarakhand,Udham Singh Nagar
Uttar Pradesh,Amroha
Uttar Pradesh,Hapur
Uttar Pradesh,Bareilly
Uttar Pradesh,Pilibhit
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Budaun
Uttar Pradesh,Bahraich
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Aligarh
Uttar Pradesh,Kasganj
Uttar Pradesh,Mathura
Uttar Pradesh,Shrawasti
Uttar Pradesh,Sitapur
Uttar Pradesh,Hathras
Uttar Pradesh,Etah
Uttar Pradesh,Hardoi
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Firozabad
Uttar Pradesh,Siddharthnagar
Uttar Pradesh,Mainpuri
Uttar Pradesh,Maharajganj
Uttar Pradesh,Agra
Uttar Pradesh,Gonda
Uttar Pradesh,Barabanki
Uttar Pradesh,Kushinagar
Uttar Pradesh,Kannauj
Uttar Pradesh,Lucknow
Uttar Pradesh,Basti
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Unnao
Uttar Pradesh,Etawah
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Auraiya
Uttar Pradesh,Ayodhya
Uttar Pradesh,Kanpur Dehat
Uttar Pradesh,Deoria
Uttar Pradesh,Sultanpur
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Rae Bareli
Uttar Pradesh,Jalaun
Uttar Pradesh,Azamgarh
Uttar Pradesh,Mau
Uttar Pradesh,Fatehpur
Uttar Pradesh,Ballia
Uttar Pradesh,Jaunpur
Uttar Pradesh,Jhansi
Uttar Pradesh,Banda
Uttar Pradesh,Ghazipur
Uttar Pradesh,Kaushambi
Uttar Pradesh,Prayagraj
Uttar Pradesh,Varanasi
Uttar Pradesh,Chitrakoot
Uttar Pradesh,Chandauli
Uttar Pradesh,Bhadohi
Uttar Pradesh,Mirzapur
Uttar Pradesh,Lalitpur
Uttar Pradesh,Sonbhadra
Uttar Pradesh,Amethi
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Sambhal
Uttar Pradesh,Mahoba
Uttar Pradesh,Saharanpur
Uttar Pradesh,Bijnor
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Baghpat
Uttar Pradesh,Meerut
Uttar Pradesh,Moradabad
Uttar Pradesh,Rampur
Uttar Pradesh,Shamli
Uttar Pradesh,Balrampur
Uttar Pradesh,Hamirpur
Uttar Pradesh,Pratapgarh
West Bengal,South 24 Parganas
West Bengal,Purba Medinipur
West Bengal,Paschim Medinipur
West Bengal,Jhargram
West Bengal,Darjeeling
West Bengal,Jalpaiguri
West Bengal,Dakshin Dinajpur
West Bengal,Malda
West Bengal,Murshidabad
West Bengal,Birbhum
West Bengal,Nadia
West Bengal,Purba Bardhaman
West Bengal,Purulia
West Bengal,Bankura
West Bengal,North 24 Parganas
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Kolkata
West Bengal,Alipurduar
West Bengal,Paschim Bardhaman
West Bengal,Kalimpong
West Bengal,Cooch Behar
West Bengal,Uttar Dinajpur
